received_at,esp32_millis,value
2026-07-01T01:18:01.536344,17353,76
2026-07-01T01:18:01.536344,17363,92
2026-07-01T01:18:01.711028,17517,64
2026-07-01T01:18:01.711028,17527,124
2026-07-01T01:18:01.711028,17538,67
2026-07-01T01:18:01.711028,17548,123
2026-07-01T01:18:01.711028,17558,68
2026-07-01T01:18:01.792886,17604,97
2026-07-01T01:18:01.792886,17615,51
2026-07-01T01:18:01.792886,17625,120
2026-07-01T01:18:01.792886,17636,60
2026-07-01T01:18:01.792886,17646,126
2026-07-01T01:18:01.871303,17683,90
2026-07-01T01:18:01.871303,17693,70
2026-07-01T01:18:01.871303,17704,96
2026-07-01T01:18:01.871303,17715,51
2026-07-01T01:18:01.871303,17725,121
2026-07-01T01:18:01.953026,17764,106
2026-07-01T01:18:01.953026,17775,56
2026-07-01T01:18:01.953026,17786,124
2026-07-01T01:18:01.953026,17796,62
2026-07-01T01:18:01.953026,17806,126
2026-07-01T01:18:02.043081,17845,117
2026-07-01T01:18:02.043081,17856,58
2026-07-01T01:18:02.043081,17866,126
2026-07-01T01:18:02.043081,17877,64
2026-07-01T01:18:02.043081,17887,124
2026-07-01T01:18:02.160695,17943,90
2026-07-01T01:18:02.160695,17953,70
2026-07-01T01:18:02.160695,17964,96
2026-07-01T01:18:02.160695,17974,54
2026-07-01T01:18:02.160695,17984,116
2026-07-01T01:18:02.239399,18056,61
2026-07-01T01:18:02.239399,18067,124
2026-07-01T01:18:02.239399,18077,67
2026-07-01T01:18:02.239399,18087,123
2026-07-01T01:18:02.239399,18098,68
2026-07-01T01:18:02.542671,18131,93
2026-07-01T01:18:02.542671,18141,86
2026-07-01T01:18:02.542671,18152,76
2026-07-01T01:18:02.542671,18162,90
2026-07-01T01:18:02.542671,18172,72
2026-07-01T01:18:02.778464,18440,77
2026-07-01T01:18:02.778464,18450,96
2026-07-01T01:18:02.778464,18461,84
2026-07-01T01:18:02.778464,18471,81
2026-07-01T01:18:02.778464,18481,88
2026-07-01T01:18:03.258467,18671,77
2026-07-01T01:18:03.258467,18682,92
2026-07-01T01:18:03.258467,18693,65
2026-07-01T01:18:03.258467,18703,110
2026-07-01T01:18:03.258467,18713,54
2026-07-01T01:18:03.723698,19153,56
2026-07-01T01:18:03.723698,19163,116
2026-07-01T01:18:03.723698,19174,56
2026-07-01T01:18:03.723698,19184,125
2026-07-01T01:18:03.723698,19194,58
2026-07-01T01:18:04.510916,19686,123
2026-07-01T01:18:04.510916,19696,69
2026-07-01T01:18:04.510916,19707,116
2026-07-01T01:18:04.510916,19717,72
2026-07-01T01:18:04.510916,19727,114
2026-07-01T01:18:05.302557,20672,53
2026-07-01T01:18:05.302557,20682,124
2026-07-01T01:18:05.302557,20693,60
2026-07-01T01:18:05.302557,20703,124
2026-07-01T01:18:05.302557,20713,62
2026-07-01T01:18:05.662606,21311,58
2026-07-01T01:18:05.662606,21322,124
2026-07-01T01:18:05.662606,21332,63
2026-07-01T01:18:05.662606,21343,123
2026-07-01T01:18:05.662606,21353,65
2026-07-01T01:18:05.967270,21552,61
2026-07-01T01:18:05.967270,21562,123
2026-07-01T01:18:05.967270,21572,64
2026-07-01T01:18:05.967270,21583,122
2026-07-01T01:18:05.967270,21593,67
2026-07-01T01:18:06.311593,21878,90
2026-07-01T01:18:06.311593,21888,69
2026-07-01T01:18:06.311593,21899,112
2026-07-01T01:18:06.311593,21910,55
2026-07-01T01:18:06.311593,21920,122
2026-07-01T01:18:06.537067,22205,90
2026-07-01T01:18:06.537067,22216,85
2026-07-01T01:18:06.537067,22227,76
2026-07-01T01:18:06.537067,22237,89
2026-07-01T01:18:06.537067,22247,70
2026-07-01T01:18:07.506647,22427,70
2026-07-01T01:18:07.506647,22438,94
2026-07-01T01:18:07.506647,22448,55
2026-07-01T01:18:07.506647,22459,114
2026-07-01T01:18:07.506647,22469,55
2026-07-01T01:18:08.189039,23441,117
2026-07-01T01:18:08.189039,23452,74
2026-07-01T01:18:08.189039,23463,105
2026-07-01T01:18:08.189039,23473,78
2026-07-01T01:18:08.189039,23483,93
2026-07-01T01:18:08.492634,24242,89
2026-07-01T01:18:08.492634,24253,85
2026-07-01T01:18:08.492634,24264,76
2026-07-01T01:18:08.492634,24274,90
2026-07-01T01:18:08.492634,24284,74
2026-07-01T01:18:08.637450,24384,70
2026-07-01T01:18:08.637450,24395,96
2026-07-01T01:18:08.637450,24405,58
2026-07-01T01:18:08.637450,24416,114
2026-07-01T01:18:08.637450,24426,56
2026-07-01T01:18:08.723756,24537,126
2026-07-01T01:18:08.723756,24547,62
2026-07-01T01:18:08.723756,24558,124
2026-07-01T01:18:08.723756,24568,64
2026-07-01T01:18:08.723756,24578,123
2026-07-01T01:18:08.828770,24617,125
2026-07-01T01:18:08.828770,24628,64
2026-07-01T01:18:08.828770,24638,123
2026-07-01T01:18:08.828770,24648,68
2026-07-01T01:18:08.828770,24659,120
2026-07-01T01:18:09.027414,24755,120
2026-07-01T01:18:09.027414,24766,60
2026-07-01T01:18:09.027414,24776,126
2026-07-01T01:18:09.027414,24787,62
2026-07-01T01:18:09.027414,24797,124
2026-07-01T01:18:09.274279,24938,122
2026-07-01T01:18:09.274279,24949,69
2026-07-01T01:18:09.274279,24959,116
2026-07-01T01:18:09.274279,24969,72
2026-07-01T01:18:09.274279,24980,113
2026-07-01T01:18:09.424383,25169,70
2026-07-01T01:18:09.424383,25179,113
2026-07-01T01:18:09.424383,25190,76
2026-07-01T01:18:09.424383,25200,106
2026-07-01T01:18:09.424383,25210,79
2026-07-01T01:18:09.560107,25332,90
2026-07-01T01:18:09.560107,25343,72
2026-07-01T01:18:09.560107,25353,103
2026-07-01T01:18:09.560107,25364,51
2026-07-01T01:18:09.560107,25374,117
2026-07-01T01:18:09.682604,25473,100
2026-07-01T01:18:09.682604,25483,52
2026-07-01T01:18:09.682604,25494,116
2026-07-01T01:18:09.682604,25504,52
2026-07-01T01:18:09.682604,25514,124
2026-07-01T01:18:09.798729,25602,75
2026-07-01T01:18:09.798729,25613,97
2026-07-01T01:18:09.798729,25623,58
2026-07-01T01:18:09.798729,25633,112
2026-07-01T01:18:09.798729,25643,51
2026-07-01T01:18:10.015600,25806,65
2026-07-01T01:18:10.015600,25816,123
2026-07-01T01:18:10.015600,25826,68
2026-07-01T01:18:10.015600,25837,121
2026-07-01T01:18:10.015600,25847,70
2026-07-01T01:18:10.169574,25914,126
2026-07-01T01:18:10.169574,25925,61
2026-07-01T01:18:10.169574,25935,124
2026-07-01T01:18:10.169574,25945,65
2026-07-01T01:18:10.169574,25955,123
2026-07-01T01:18:10.306675,26061,74
2026-07-01T01:18:10.306675,26072,97
2026-07-01T01:18:10.306675,26082,61
2026-07-01T01:18:10.306675,26092,110
2026-07-01T01:18:10.306675,26103,51
2026-07-01T01:18:10.401625,26203,56
2026-07-01T01:18:10.401625,26213,126
2026-07-01T01:18:10.401625,26224,61
2026-07-01T01:18:10.401625,26234,124
2026-07-01T01:18:10.401625,26244,64
2026-07-01T01:18:10.876958,26372,117
2026-07-01T01:18:10.876958,26383,56
2026-07-01T01:18:10.876958,26393,125
2026-07-01T01:18:10.876958,26403,60
2026-07-01T01:18:10.876958,26413,124
2026-07-01T01:18:11.406668,26769,87
2026-07-01T01:18:11.406668,26779,72
2026-07-01T01:18:11.406668,26790,93
2026-07-01T01:18:11.406668,26800,61
2026-07-01T01:18:11.406668,26811,111
2026-07-01T01:18:11.878950,27348,89
2026-07-01T01:18:11.878950,27359,70
2026-07-01T01:18:11.878950,27370,120
2026-07-01T01:18:11.878950,27381,57
2026-07-01T01:18:11.878950,27391,124
2026-07-01T01:18:12.428789,27809,104
2026-07-01T01:18:12.428789,27820,52
2026-07-01T01:18:12.428789,27830,122
2026-07-01T01:18:12.428789,27840,57
2026-07-01T01:18:12.428789,27850,123
2026-07-01T01:18:12.690407,28320,61
2026-07-01T01:18:12.690407,28331,116
2026-07-01T01:18:12.690407,28341,64
2026-07-01T01:18:12.690407,28352,114
2026-07-01T01:18:12.690407,28362,67
2026-07-01T01:18:13.058899,28584,79
2026-07-01T01:18:13.058899,28595,74
2026-07-01T01:18:13.058899,28605,85
2026-07-01T01:18:13.058899,28616,68
2026-07-01T01:18:13.058899,28626,88
2026-07-01T01:18:13.808139,28987,108
2026-07-01T01:18:13.808139,28997,51
2026-07-01T01:18:13.808139,29007,116
2026-07-01T01:18:13.808139,29017,55
2026-07-01T01:18:13.808139,29028,121
2026-07-01T01:18:14.632518,29708,116
2026-07-01T01:18:14.632518,29718,64
2026-07-01T01:18:14.632518,29729,114
2026-07-01T01:18:14.632518,29739,67
2026-07-01T01:18:14.632518,29749,111
2026-07-01T01:18:14.812596,30570,87
2026-07-01T01:18:14.812596,30580,80
2026-07-01T01:18:14.812596,30590,86
2026-07-01T01:18:14.812596,30600,80
2026-07-01T01:18:14.812596,30611,76
2026-07-01T01:18:15.007708,30813,50
2026-07-01T01:18:15.007708,30823,116
2026-07-01T01:18:15.007708,30834,56
2026-07-01T01:18:15.007708,30844,120
2026-07-01T01:18:15.007708,30854,58
2026-07-01T01:18:15.152057,30941,89
2026-07-01T01:18:15.152057,30952,57
2026-07-01T01:18:15.152057,30962,104
2026-07-01T01:18:15.152057,30972,48
2026-07-01T01:18:15.152057,30983,113
2026-07-01T01:18:15.318966,31065,116
2026-07-01T01:18:15.318966,31076,64
2026-07-01T01:18:15.318966,31086,115
2026-07-01T01:18:15.318966,31096,65
2026-07-01T01:18:15.318966,31106,112
2026-07-01T01:18:15.447979,31211,60
2026-07-01T01:18:15.447979,31222,106
2026-07-01T01:18:15.447979,31232,50
2026-07-01T01:18:15.447979,31242,113
2026-07-01T01:18:15.447979,31252,52
2026-07-01T01:18:15.623469,31430,69
2026-07-01T01:18:15.623469,31441,94
2026-07-01T01:18:15.623469,31451,55
2026-07-01T01:18:15.623469,31461,106
2026-07-01T01:18:15.623469,31471,49
2026-07-01T01:18:15.804488,31567,100
2026-07-01T01:18:15.804488,31578,77
2026-07-01T01:18:15.804488,31588,78
2026-07-01T01:18:15.804488,31598,81
2026-07-01T01:18:15.804488,31609,75
2026-07-01T01:18:16.027351,31736,68
2026-07-01T01:18:16.027351,31746,108
2026-07-01T01:18:16.027351,31756,73
2026-07-01T01:18:16.027351,31767,92
2026-07-01T01:18:16.027351,31777,77
2026-07-01T01:18:16.154119,31944,114
2026-07-01T01:18:16.154119,31955,67
2026-07-01T01:18:16.154119,31965,109
2026-07-01T01:18:16.154119,31975,70
2026-07-01T01:18:16.154119,31986,103
2026-07-01T01:18:16.295655,32081,115
2026-07-01T01:18:16.295655,32091,55
2026-07-01T01:18:16.295655,32102,120
2026-07-01T01:18:16.295655,32112,58
2026-07-01T01:18:16.295655,32122,116
2026-07-01T01:18:16.401731,32195,69
2026-07-01T01:18:16.401731,32206,99
2026-07-01T01:18:16.401731,32216,76
2026-07-01T01:18:16.401731,32226,81
2026-07-01T01:18:16.401731,32237,80
2026-07-01T01:18:16.504225,32315,68
2026-07-01T01:18:16.504225,32325,102
2026-07-01T01:18:16.504225,32335,75
2026-07-01T01:18:16.504225,32346,87
2026-07-01T01:18:16.504225,32356,77
2026-07-01T01:18:16.635138,32422,115
2026-07-01T01:18:16.635138,32433,62
2026-07-01T01:18:16.635138,32443,113
2026-07-01T01:18:16.635138,32453,66
2026-07-01T01:18:16.635138,32463,110
2026-07-01T01:18:16.746795,32538,87
2026-07-01T01:18:16.746795,32548,62
2026-07-01T01:18:16.746795,32559,103
2026-07-01T01:18:16.746795,32569,49
2026-07-01T01:18:16.746795,32579,113
2026-07-01T01:18:16.858549,32672,61
2026-07-01T01:18:16.858549,32682,113
2026-07-01T01:18:16.858549,32692,64
2026-07-01T01:18:16.858549,32703,111
2026-07-01T01:18:16.858549,32713,66
2026-07-01T01:18:17.021145,32784,102
2026-07-01T01:18:17.021145,32795,76
2026-07-01T01:18:17.021145,32805,84
2026-07-01T01:18:17.021145,32815,80
2026-07-01T01:18:17.021145,32826,78
2026-07-01T01:18:17.164456,32919,116
2026-07-01T01:18:17.164456,32930,56
2026-07-01T01:18:17.164456,32940,117
2026-07-01T01:18:17.164456,32951,60
2026-07-01T01:18:17.164456,32961,115
2026-07-01T01:18:17.347659,33100,117
2026-07-01T01:18:17.347659,33111,62
2026-07-01T01:18:17.347659,33122,114
2026-07-01T01:18:17.347659,33132,67
2026-07-01T01:18:17.347659,33142,110
2026-07-01T01:18:17.427087,33247,67
2026-07-01T01:18:17.427087,33257,100
2026-07-01T01:18:17.427087,33268,49
2026-07-01T01:18:17.427087,33279,118
2026-07-01T01:18:17.427087,33289,57
2026-07-01T01:18:17.715830,33323,104
2026-07-01T01:18:17.715830,33333,74
2026-07-01T01:18:17.715830,33343,93
2026-07-01T01:18:17.715830,33354,76
2026-07-01T01:18:17.715830,33364,84
2026-07-01T01:18:17.896825,33606,57
2026-07-01T01:18:17.896825,33617,106
2026-07-01T01:18:17.896825,33627,50
2026-07-01T01:18:17.896825,33637,113
2026-07-01T01:18:17.896825,33647,55
2026-07-01T01:18:18.131686,33878,117
2026-07-01T01:18:18.131686,33889,61
2026-07-01T01:18:18.131686,33899,115
2026-07-01T01:18:18.131686,33910,64
2026-07-01T01:18:18.131686,33920,114
2026-07-01T01:18:18.283226,34052,70
2026-07-01T01:18:18.283226,34062,94
2026-07-01T01:18:18.283226,34072,76
2026-07-01T01:18:18.283226,34083,75
2026-07-01T01:18:18.283226,34093,84
2026-07-01T01:18:18.471400,34183,76
2026-07-01T01:18:18.471400,34193,84
2026-07-01T01:18:18.471400,34204,69
2026-07-01T01:18:18.471400,34214,88
2026-07-01T01:18:18.471400,34225,67
2026-07-01T01:18:19.082721,34423,70
2026-07-01T01:18:19.082721,34433,84
2026-07-01T01:18:19.082721,34443,69
2026-07-01T01:18:19.082721,34454,87
2026-07-01T01:18:19.082721,34464,67
2026-07-01T01:18:19.623809,35022,69
2026-07-01T01:18:19.623809,35032,85
2026-07-01T01:18:19.623809,35043,67
2026-07-01T01:18:19.623809,35053,93
2026-07-01T01:18:19.623809,35064,52
2026-07-01T01:18:20.388404,35787,65
2026-07-01T01:18:20.388404,35797,106
2026-07-01T01:18:20.388404,35808,69
2026-07-01T01:18:20.388404,35818,103
2026-07-01T01:18:20.388404,35828,72
2026-07-01T01:18:20.708146,36351,89
2026-07-01T01:18:20.708146,36361,56
2026-07-01T01:18:20.708146,36371,104
2026-07-01T01:18:20.708146,36381,48
2026-07-01T01:18:20.708146,36392,110
2026-07-01T01:18:21.051766,36614,115
2026-07-01T01:18:21.051766,36624,62
2026-07-01T01:18:21.051766,36635,114
2026-07-01T01:18:21.051766,36645,65
2026-07-01T01:18:21.051766,36655,112
2026-07-01T01:18:21.382289,36972,116
2026-07-01T01:18:21.382289,36982,57
2026-07-01T01:18:21.382289,36992,116
2026-07-01T01:18:21.382289,37003,61
2026-07-01T01:18:21.382289,37014,114
2026-07-01T01:18:21.645841,37317,74
2026-07-01T01:18:21.645841,37328,86
2026-07-01T01:18:21.645841,37339,65
2026-07-01T01:18:21.645841,37349,90
2026-07-01T01:18:21.645841,37359,51
2026-07-01T01:18:22.068169,37555,96
2026-07-01T01:18:22.068169,37566,76
2026-07-01T01:18:22.068169,37576,78
2026-07-01T01:18:22.068169,37586,80
2026-07-01T01:18:22.068169,37597,74
2026-07-01T01:18:22.610185,37996,74
2026-07-01T01:18:22.610185,38007,86
2026-07-01T01:18:22.610185,38017,67
2026-07-01T01:18:22.610185,38028,102
2026-07-01T01:18:22.610185,38039,48
2026-07-01T01:18:23.012208,38508,110
2026-07-01T01:18:23.012208,38519,52
2026-07-01T01:18:23.012208,38529,116
2026-07-01T01:18:23.012208,38539,57
2026-07-01T01:18:23.012208,38550,115
2026-07-01T01:18:23.637990,39410,112
2026-07-01T01:18:23.637990,39420,65
2026-07-01T01:18:23.637990,39431,106
2026-07-01T01:18:23.637990,39441,68
2026-07-01T01:18:23.637990,39451,103
2026-07-01T01:18:24.155888,39536,48
2026-07-01T01:18:24.155888,39546,114
2026-07-01T01:18:24.155888,39557,53
2026-07-01T01:18:24.155888,39567,116
2026-07-01T01:18:24.155888,39577,57
2026-07-01T01:18:24.953306,40059,66
2026-07-01T01:18:24.953306,40070,104
2026-07-01T01:18:24.953306,40080,70
2026-07-01T01:18:24.953306,40091,89
2026-07-01T01:18:24.953306,40101,75
2026-07-01T01:18:26.208620,40907,112
2026-07-01T01:18:26.208620,40917,64
2026-07-01T01:18:26.208620,40927,108
2026-07-01T01:18:26.208620,40937,65
2026-07-01T01:18:26.208620,40948,106
2026-07-01T01:18:26.708483,42117,73
2026-07-01T01:18:26.708483,42127,78
2026-07-01T01:18:26.708483,42138,78
2026-07-01T01:18:26.708483,42148,70
2026-07-01T01:18:26.708483,42158,84
2026-07-01T01:18:26.963333,42602,113
2026-07-01T01:18:26.963333,42613,62
2026-07-01T01:18:26.963333,42624,109
2026-07-01T01:18:26.963333,42634,65
2026-07-01T01:18:26.963333,42644,106
2026-07-01T01:18:27.279834,42941,115
2026-07-01T01:18:27.279834,42952,61
2026-07-01T01:18:27.279834,42962,113
2026-07-01T01:18:27.279834,42972,63
2026-07-01T01:18:27.279834,42983,110
2026-07-01T01:18:27.748973,43344,97
2026-07-01T01:18:27.748973,43355,75
2026-07-01T01:18:27.748973,43365,77
2026-07-01T01:18:27.748973,43375,79
2026-07-01T01:18:27.748973,43386,73
2026-07-01T01:18:28.153308,43681,112
2026-07-01T01:18:28.153308,43692,64
2026-07-01T01:18:28.153308,43702,106
2026-07-01T01:18:28.153308,43712,65
2026-07-01T01:18:28.153308,43722,104
2026-07-01T01:18:28.567274,44049,57
2026-07-01T01:18:28.567274,44059,113
2026-07-01T01:18:28.567274,44070,61
2026-07-01T01:18:28.567274,44080,112
2026-07-01T01:18:28.567274,44090,62
2026-07-01T01:18:28.672269,44463,75
2026-07-01T01:18:28.672269,44474,80
2026-07-01T01:18:28.672269,44484,69
2026-07-01T01:18:28.672269,44494,84
2026-07-01T01:18:28.672269,44505,65
2026-07-01T01:18:28.797074,44562,94
2026-07-01T01:18:28.797074,44572,75
2026-07-01T01:18:28.797074,44583,76
2026-07-01T01:18:28.797074,44593,78
2026-07-01T01:18:28.797074,44604,67
2026-07-01T01:18:29.075717,44691,68
2026-07-01T01:18:29.075717,44702,85
2026-07-01T01:18:29.075717,44712,76
2026-07-01T01:18:29.075717,44723,74
2026-07-01T01:18:29.075717,44733,80
2026-07-01T01:18:29.519963,44968,57
2026-07-01T01:18:29.519963,44978,112
2026-07-01T01:18:29.519963,44989,61
2026-07-01T01:18:29.519963,44999,109
2026-07-01T01:18:29.519963,45009,64
2026-07-01T01:18:29.749213,45482,68
2026-07-01T01:18:29.749213,45493,86
2026-07-01T01:18:29.749213,45503,61
2026-07-01T01:18:29.749213,45514,98
2026-07-01T01:18:29.749213,45524,48
2026-07-01T01:18:30.099424,45646,55
2026-07-01T01:18:30.099424,45656,112
2026-07-01T01:18:30.099424,45666,60
2026-07-01T01:18:30.099424,45677,110
2026-07-01T01:18:30.099424,45687,61
2026-07-01T01:18:30.310324,46004,50
2026-07-01T01:18:30.310324,46014,114
2026-07-01T01:18:30.310324,46025,55
2026-07-01T01:18:30.310324,46035,114
2026-07-01T01:18:30.310324,46045,57
2026-07-01T01:18:30.637988,46209,70
2026-07-01T01:18:30.637988,46219,84
2026-07-01T01:18:30.637988,46230,77
2026-07-01T01:18:30.637988,46240,75
2026-07-01T01:18:30.637988,46250,80
2026-07-01T01:18:31.547532,46530,78
2026-07-01T01:18:31.547532,46540,68
2026-07-01T01:18:31.547532,46551,85
2026-07-01T01:18:31.547532,46561,62
2026-07-01T01:18:31.547532,46572,103
2026-07-01T01:18:31.769521,47451,108
2026-07-01T01:18:31.769521,47461,52
2026-07-01T01:18:31.769521,47472,114
2026-07-01T01:18:31.769521,47482,56
2026-07-01T01:18:31.769521,47492,113
2026-07-01T01:18:32.052708,47719,65
2026-07-01T01:18:32.052708,47729,87
2026-07-01T01:18:32.052708,47739,52
2026-07-01T01:18:32.052708,47750,102
2026-07-01T01:18:32.052708,47760,49
2026-07-01T01:18:32.282621,47953,109
2026-07-01T01:18:32.282621,47964,65
2026-07-01T01:18:32.282621,47975,101
2026-07-01T01:18:32.282621,47985,69
2026-07-01T01:18:32.282621,47995,96
2026-07-01T01:18:32.750948,48229,106
2026-07-01T01:18:32.750948,48240,52
2026-07-01T01:18:32.750948,48250,114
2026-07-01T01:18:32.750948,48261,57
2026-07-01T01:18:32.750948,48271,113
2026-07-01T01:18:32.969441,48642,62
2026-07-01T01:18:32.969441,48652,108
2026-07-01T01:18:32.969441,48663,65
2026-07-01T01:18:32.969441,48673,103
2026-07-01T01:18:32.969441,48683,69
2026-07-01T01:18:33.379502,48865,77
2026-07-01T01:18:33.379502,48875,70
2026-07-01T01:18:33.379502,48886,84
2026-07-01T01:18:33.379502,48896,68
2026-07-01T01:18:33.379502,48906,85
2026-07-01T01:18:33.670961,49273,98
2026-07-01T01:18:33.670961,49283,73
2026-07-01T01:18:33.670961,49293,80
2026-07-01T01:18:33.670961,49304,76
2026-07-01T01:18:33.670961,49314,76
2026-07-01T01:18:34.080389,49572,99
2026-07-01T01:18:34.080389,49582,70
2026-07-01T01:18:34.080389,49593,78
2026-07-01T01:18:34.080389,49604,77
2026-07-01T01:18:34.080389,49614,74
2026-07-01T01:18:34.733701,49982,72
2026-07-01T01:18:34.733701,49992,77
2026-07-01T01:18:34.733701,50002,72
2026-07-01T01:18:34.733701,50013,77
2026-07-01T01:18:34.733701,50023,78
2026-07-01T01:18:35.303054,50637,57
2026-07-01T01:18:35.303054,50647,111
2026-07-01T01:18:35.303054,50658,61
2026-07-01T01:18:35.303054,50668,109
2026-07-01T01:18:35.303054,50678,64
2026-07-01T01:18:35.731185,51248,105
2026-07-01T01:18:35.731185,51259,67
2026-07-01T01:18:35.731185,51269,97
2026-07-01T01:18:35.731185,51279,70
2026-07-01T01:18:35.731185,51290,81
2026-07-01T01:18:36.003859,51656,60
2026-07-01T01:18:36.003859,51666,108
2026-07-01T01:18:36.003859,51677,65
2026-07-01T01:18:36.003859,51687,103
2026-07-01T01:18:36.003859,51698,67
2026-07-01T01:18:36.347072,51914,55
2026-07-01T01:18:36.347072,51925,111
2026-07-01T01:18:36.347072,51935,60
2026-07-01T01:18:36.347072,51945,109
2026-07-01T01:18:36.347072,51956,62
2026-07-01T01:18:36.660295,52237,65
2026-07-01T01:18:36.660295,52248,89
2026-07-01T01:18:36.660295,52258,73
2026-07-01T01:18:36.660295,52268,74
2026-07-01T01:18:36.660295,52279,77
2026-07-01T01:18:36.860638,52581,94
2026-07-01T01:18:36.860638,52591,46
2026-07-01T01:18:36.860638,52601,106
2026-07-01T01:18:36.860638,52612,50
2026-07-01T01:18:36.860638,52622,113
2026-07-01T01:18:37.063946,52749,68
2026-07-01T01:18:37.063946,52759,81
2026-07-01T01:18:37.063946,52770,58
2026-07-01T01:18:37.063946,52780,96
2026-07-01T01:18:37.063946,52790,46
